web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Heaven,Man Utd,2,3.7,0.5,0.51,2.67,1.0,0.87
Mosquera,Arsenal,2,5.3,1.0,0.49,3.67,2.0,0.86
Adingra,Sunderland,3,4.9,0.0,0.97,2.67,0.0,0.85
Branthwaite,Everton,2,5.3,0.5,0.37,2.67,0.5,0.81
Clyne,Crystal Palace,2,3.8,0.0,1.03,3.0,0.0,0.81
Bradley,Liverpool,2,4.9,0.0,1.02,3.0,0.0,0.81
Mamardashvili,Liverpool,1,4.1,1.0,0.0,3.0,1.5,0.8
Kilman,West Ham,2,4.1,0.0,0.81,2.67,0.5,0.79
Traoré,Sunderland,3,5.5,0.0,0.73,2.67,0.0,0.76
Bogarde,Aston Villa,2,4.0,0.5,0.19,2.67,0.5,0.74
Gnonto,Leeds,3,5.1,0.0,0.85,3.0,-0.5,0.74
Florentino,Burnley,3,5.0,0.0,0.94,3.33,-0.5,0.71
Adams,Bournemouth,3,4.9,0.0,0.93,3.33,-0.5,0.71
